id,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,TV,Wireless_Internet,Kitchen,Free_Parking_on_Premises,Pets_live_on_this_property,Dogs,Heating,Family_or_Kid_Friendly,Washer,Dryer,Smoke_Detector,Fire_Extinguisher,Essentials,Shampoo,Laptop_Friendly_Workspace,Internet,Air_Conditioning,Pets_Allowed,Carbon_Monoxide_Detector,Lock_on_Bedroom_Door,Hangers,Hair_Dryer,Iron,Cable_TV,First_Aid_Kit,Safety_Card,Breakfast,Cats,Indoor_Fireplace,Twenty_four_Hour_Check_in,Hot_Tub,Buzzer_or_Wireless_Intercom,Other_pets,Washer_or_Dryer,Smoking_Allowed,Suitable_for_Events,Wheelchair_Accessible,Gym,Elevator_in_Building,Pool,Doorman,Paid_Parking_Off_Premises,Free_Parking_on_Street,price
12147973,Roslindale,House,Entire home/apt,4,1.5,2,3,Real Bed,1,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,250
3075044,Roslindale,Apartment,Private room,2,1,1,1,Real Bed,0,2,T,T,T,F,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,65
6976,Roslindale,Apartment,Private room,2,1,1,1,Real Bed,1,3,T,T,T,T,F,F,T,F,T,T,T,F,T,T,F,F,T,F,T,T,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,65
7651065,Roslindale,House,Private room,2,1.5,1,2,Real Bed,1,2,F,T,T,F,F,F,T,F,F,F,T,F,T,T,F,T,T,F,T,F,T,T,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,79
12386020,Roslindale,Condominium,Private room,2,1,1,1,Real Bed,1,2,F,T,T,T,T,F,T,T,F,F,T,F,F,F,F,F,T,F,T,F,T,F,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,75
2843445,Roslindale,House,Private room,2,2,1,1,Real Bed,1,1,T,T,F,T,T,T,T,F,T,T,T,T,T,T,T,T,T,F,T,F,T,T,T,F,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,75
753446,Roslindale,Condominium,Private room,2,1,1,2,Real Bed,2,2,F,T,F,F,T,F,T,T,F,F,T,F,F,T,F,F,F,F,T,F,T,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,58
849408,Roslindale,Apartment,Entire home/apt,5,1,2,2,Real Bed,4,4,T,T,T,T,F,F,T,T,T,T,T,T,T,T,T,T,T,F,T,F,T,T,T,T,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,229
12023024,Roslindale,House,Private room,2,1,1,1,Real Bed,1,1,T,T,T,T,F,F,T,T,T,T,T,F,T,F,F,F,T,F,T,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,60
1668313,Roslindale,House,Private room,1,1,1,1,Real Bed,1,1,T,T,F,T,T,F,T,F,T,T,F,F,F,F,F,T,T,T,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,57
2684840,Roslindale,Condominium,Entire home/apt,4,1,2,2,Real Bed,1,1,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,F,F,F,F,T,T,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,93
